"","topic","cluster","label_1","label_2","label_3","coherence","num_docs","top_terms"
"t_1 found_children people_south","t_1",1,"found_children","people_south","study_people",-0.0727577599433623,2041,"spreading, corona, spreads, spread, pandemic, people, flu, spreading_corona, deadly, report, corona_spreading, coronaviru, quickly, mutation, mutation_spreads"
"t_2 wash_hands restaurant_pandemic","t_2",2,"wash_hands","restaurant_pandemic","eating_restaurant",0.10277246375518,2267,"eating, eat, restaurant, restaurants, avoid, people, thing, covid, things, eating_restaurants, pandemic, stay, eating_restaurant, home, yall"
"t_3 covid_windsor windsor_essex","t_3",3,"covid_windsor","windsor_essex","cases_covid",0.0308295937766357,2241,"spread, covid, safe, prevent, spread_covid, prevent_spread, coronavirus, cases, community, pandemic, spread_coronavirus, community_spread, ways, stop, safe_covid"
"t_4 garlic_water boiled_garlic","t_4",4,"garlic_water","boiled_garlic","cure_infection",0.125778994278562,2166,"water, drinking, coronavirus, disease, cure, prevention, disease_covid, covid, garlic, drink, prevent, covid_prevention, eating, cures, drinking_water"
"t_5 protestors_spread spread_covid","t_5",3,"protestors_spread","spread_covid","covid_protestors",0.0305757161813815,2485,"covid, spreading, spread, spreading_covid, spread_covid, covid_spread, covid_spreading, pets, wildfire, protests, risk, spreading_wildfire, curb, tracking, steps"
"t_6 gargling_warm warm_water","t_6",3,"gargling_warm","warm_water","water_vinegar",0.0531449853424428,2078,"spread, covid, cases, study, children, adults, control, word, covid_cases, spread_covid, water, children_spread, salt, spread_word, warm"
"t_7 council_london cycle_training","t_7",1,"council_london","cycle_training","distanced_cycle",0.0508788929338526,2032,"spread, mutation, covid, fauci, york, warns, spreads, times, safe, safely, york_times, spreading, receive, easily, warns_mutation"
"t_8 protesting_spreads spreads_protesting","t_8",5,"protesting_spreads","spreads_protesting","cat_tests",0.00380068178004655,2064,"covid, spread, received, spreads, china, package, receive, spread_covid, government, air, pet, post, fight, chinese, evidence"
"t_9 china_virus virus_china","t_9",5,"china_virus","virus_china","covid_supplies",0.0913956085504766,2142,"china, virus, safe, china_virus, received, covid, receiving, stay, virus_china, packages, receive, spread_virus, safely, days, people"
"t_10 anti_demand demand_anti","t_10",1,"anti_demand","demand_anti","ecuador_packaging",-0.0413938067612192,2139,"spreading, spread, coronavirus, day, spreads, world, covid, faster, version, spreading_coronavirus, study, china, misinformation, fast, lies"
